Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Channel 1 mean,Nucleus: Channel 1 sum,Nucleus: Channel 1 std dev,Nucleus: Channel 1 max,Nucleus: Channel 1 min,Nucleus: Channel 1 range,Nucleus: Channel 2 mean,Nucleus: Channel 2 sum,Nucleus: Channel 2 std dev,Nucleus: Channel 2 max,Nucleus: Channel 2 min,Nucleus: Channel 2 range,Nucleus: Channel 3 mean,Nucleus: Channel 3 sum,Nucleus: Channel 3 std dev,Nucleus: Channel 3 max,Nucleus: Channel 3 min,Nucleus: Channel 3 range,Nucleus: Channel 4 mean,Nucleus: Channel 4 sum,Nucleus: Channel 4 std dev,Nucleus: Channel 4 max,Nucleus: Channel 4 min,Nucleus: Channel 4 range
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,7bea6827-82e6-4fc2-bff3-3c866fc8aa42,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,146.18,484.02,57.464,31.7511,0.7163,12.3816,6.2669,0.865,64.0879,11664,19.5545,132,36,96,8.044,1464,2.4378,17,2,15,10.5604,1922,4.7296,25,1,24,7.7967,1419,3.5128,22,0,22
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,6450d591-76d9-4c21-ba34-e83e6a6cc2d3,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,116.04,483.92,72.9599,31.1535,0.9447,10.5213,9.0475,0.4699,78.1261,17969,38.7651,209,18,191,3.0478,701,1.8247,11,0,11,13.7435,3161,5.6095,28,3,25,11.9783,2755,5.6934,29,1,28
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,be24b3dd-2eeb-4ccf-9ecd-f598f29343c9,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,279.12,487.74,83.9361,35.7012,0.8275,13.2102,8.6874,0.7471,82.2586,21634,35.0362,206,15,191,2.3574,620,1.7867,10,0,10,12.0913,3180,4.8085,37,2,35,14.3118,3764,4.5215,26,1,25
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,ab467275-fbd5-4966-a541-161b6f5fc6ea,Detection,,Ctip2-: Cux1+: RORB-,Annotation,Polygon,84.57,488.23,68.4402,29.9524,0.9586,10.1299,8.7031,0.3959,94.3889,20388,77.6963,222,12,210,5.0139,1083,2.8489,11,0,11,6.1574,1330,4.3811,26,0,26,22.1157,4777,11.5525,50,1,49
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,8e6e3e8d-bd59-418c-9117-8a505f5c68db,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,215.49,488.82,58.4325,28.1364,0.9275,10.2061,7.9083,0.5699,67.1413,12354,49.6913,214,10,204,3.1304,576,2.1714,8,0,8,5.8533,1077,3.7336,18,0,18,5.6522,1040,2.5711,14,1,13
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,2731b8ac-d538-47b7-aa38-c9f8aec9e203,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,138.43,488.61,32.606,21.4206,0.893,6.9057,6.1291,0.4731,91.8846,9556,44.4767,199,30,169,4.4231,460,3.2402,11,0,11,9.1827,955,4.0835,22,3,19,9.9519,1035,2.6084,21,6,15
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,2641c985-6c20-4395-972f-3442f436ab32,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,195.37,489.44,61.9836,28.848,0.936,10.517,7.9647,0.6568,53.198,10480,21.8309,139,14,125,3.7513,739,2.0908,9,0,9,12.4619,2455,5.8515,33,1,32,11.7817,2321,4.2013,22,2,20
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,39a9e387-ba24-45e5-9257-5c2df778b508,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,256.6,489.7,33.5745,22.3804,0.8423,8.8534,4.9958,0.8272,29.8491,3164,6.2789,43,17,26,2.3019,244,1.4617,6,0,6,8.2736,877,4.5951,29,1,28,6.0094,637,2.9293,18,1,17
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,fefb75bb-54a1-4f98-988b-3a1dc682066e,Detection,,Ctip2-: Cux1+: RORB-,Annotation,Polygon,176.62,492.47,123.9672,42.0547,0.8808,15.411,10.4745,0.767,78.3093,30384,43.4982,226,12,214,4.7423,1840,2.8074,15,0,15,14.6469,5683,7.8649,43,0,43,24.4072,9470,7.7759,46,9,37
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,906e863c-e0c6-48aa-a977-319fadf92cdc,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,238.33,493.94,123.3216,41.6067,0.8952,15.1778,10.2771,0.7393,73.9143,28457,42.4231,218,14,204,3.7247,1434,2.4059,13,0,13,11.6338,4479,6.0107,39,1,38,12.4234,4783,7.2622,36,1,35
