,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
0,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,413.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,600.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,573.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,616.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,581.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,506.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,516.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,550.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,589.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,553.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,279.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,549.0,10.0,L38102-3_,L38102-3,M,WT,21
2,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,571.0,20.0,L38102-3_,L38102-3,M,WT,21
