,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
2,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,330.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,377.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,359.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,314.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,330.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,408.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,422.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,228.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,132.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,416.0,10.0,L38102-3_,L38102-3,M,WT,21
2,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,419.0,20.0,L38102-3_,L38102-3,M,WT,21
3,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,429.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,422.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,347.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,360.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,452.0,70.0,L38102-3_,L38102-3,M,WT,21
8,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,498.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,283.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,104.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,440.0,10.0,L38102-3_,L38102-3,M,WT,21
