,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
1,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,65.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,77.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,68.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,74.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,67.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,68.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,68.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,71.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,165.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,9.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,19.0,10.0,L38102-3_,L38102-3,M,WT,21
2,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,36.0,20.0,L38102-3_,L38102-3,M,WT,21
3,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,43.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,41.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,52.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,49.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,49.0,70.0,L38102-3_,L38102-3,M,WT,21
8,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,62.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,110.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,7.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,16.0,10.0,L38102-3_,L38102-3,M,WT,21
2,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,49.0,20.0,L38102-3_,L38102-3,M,WT,21
3,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,48.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,61.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,60.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,56.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,58.0,70.0,L38102-3_,L38102-3,M,WT,21
8,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,68.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,124.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,9.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,29.0,10.0,L38102-3_,L38102-3,M,WT,21
2,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,44.0,20.0,L38102-3_,L38102-3,M,WT,21
3,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,59.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,63.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,57.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,64.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,56.0,70.0,L38102-3_,L38102-3,M,WT,21
8,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,68.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,154.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,28.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,59.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,63.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,75.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,61.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,70.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,68.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,64.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,76.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,185.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,40.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,63.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,56.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,57.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,67.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,72.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,76.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,62.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,70.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,94.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,41.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,64.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,59.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,78.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,74.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,64.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,57.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,65.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,84.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,153.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,82.0,0.0,L49501-1F,L40720_1M,M,KO,21
1,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,64.0,10.0,L49501-1F,L40720_1M,M,KO,21
2,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,60.0,20.0,L49501-1F,L40720_1M,M,KO,21
3,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,69.0,30.0,L49501-1F,L40720_1M,M,KO,21
4,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,56.0,40.0,L49501-1F,L40720_1M,M,KO,21
5,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,52.0,50.0,L49501-1F,L40720_1M,M,KO,21
6,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,49.0,60.0,L49501-1F,L40720_1M,M,KO,21
7,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,50.0,70.0,L49501-1F,L40720_1M,M,KO,21
8,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,59.0,80.0,L49501-1F,L40720_1M,M,KO,21
9,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,127.0,90.0,L49501-1F,L40720_1M,M,KO,21
0,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,29.0,0.0,L49501-1F,L40720_1M,M,KO,21
1,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,50.0,10.0,L49501-1F,L40720_1M,M,KO,21
2,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,34.0,20.0,L49501-1F,L40720_1M,M,KO,21
3,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,42.0,30.0,L49501-1F,L40720_1M,M,KO,21
4,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,41.0,40.0,L49501-1F,L40720_1M,M,KO,21
5,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,34.0,50.0,L49501-1F,L40720_1M,M,KO,21
6,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,40.0,60.0,L49501-1F,L40720_1M,M,KO,21
7,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,40.0,70.0,L49501-1F,L40720_1M,M,KO,21
8,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,48.0,80.0,L49501-1F,L40720_1M,M,KO,21
9,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,130.0,90.0,L49501-1F,L40720_1M,M,KO,21
0,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.tif_rotated,25.0,0.0,L49501-1F,L40720_1M,M,KO,21
1,Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.tif_rotated,29.0,10.0,L49501-1F,L40720_1M,M,KO,21
