#Selection name: Selection 5
#Area (µm^2): 1389450.20
Cell ID,Cluster,Transcripts,Area (µm^2)
apieilna-1,Cluster 22,0,163.65
apiacecp-1,Cluster 17,0,184.87
apicohlm-1,Cluster 17,0,167.53
aphpmkbc-1,Cluster 10,0,124.86
aphpfkbp-1,Cluster 17,0,189.57
appbnckp-1,Cluster 10,0,153.12
mhhfbffh-1,Cluster 17,1,158.59
mhheliia-1,Cluster 10,0,150.73
mhgkdaki-1,Cluster 1,1,67.64
mheghdcb-1,Cluster 35,0,65.93
mhglccnj-1,Cluster 2,1,59.65
mhgnimhn-1,Cluster 7,0,25.74
mhcjonog-1,Cluster 8,0,67.28
mhehgaem-1,Cluster 11,0,76.00
mhgknalh-1,Cluster 7,0,20.46
oigcghmd-1,Cluster 1,0,9.26
mhcjgjcp-1,Cluster 17,1,116.77
oakodfog-1,Cluster 10,0,27.46
mhhcjido-1,Cluster 10,1,120.48
mhhdhbaa-1,Cluster 10,0,140.57
mhcldhfo-1,Cluster 21,0,78.89
appejckp-1,Cluster 10,0,138.54
oalafjgd-1,Cluster 10,0,35.36
oakpkkpn-1,Cluster 19,0,16.30
mhbhdocf-1,Cluster 17,0,200.90
mkkchdfk-1,Cluster 13,2,71.53
ogngjcmd-1,Cluster 1,3,93.29
mhhmonom-1,Cluster 13,17,245.33
obddkgki-1,Cluster 1,0,47.69
miafkgcb-1,Cluster 13,11,155.25
apikgpja-1,Cluster 13,22,282.14
mhhnjoah-1,Cluster 13,7,171.41
miajhdop-1,Cluster 6,11,182.57
mkkgfcoe-1,Cluster 13,7,91.80
mianlgoa-1,Cluster 22,1,120.66
apghfich-1,Cluster 13,15,152.36
mhhmklel-1,Cluster 1,5,121.92
mhhlkdmf-1,Cluster 19,8,160.67
mhcfkadj-1,Cluster 10,0,96.59
obddnfbp-1,Cluster 2,0,18.65
mhhmcdfi-1,Cluster 6,0,47.01
miaoehmn-1,Cluster 17,0,237.75
apgikbeb-1,Cluster 22,0,126.35
mkkfmboo-1,Cluster 13,3,86.34
mhcfeana-1,Cluster 19,4,226.59
mkkgjjam-1,Cluster 22,0,127.48
mkmloeno-1,Cluster 13,8,119.94
mhiagaef-1,Cluster 4,1,194.44
mhbpkhga-1,Cluster 22,1,144.27
apikppoi-1,Cluster 28,3,210.70
mkkgccck-1,Cluster 1,0,73.47
mhbpikmi-1,Cluster 10,0,143.73
mhcfblbb-1,Cluster 7,0,134.29
apipahhi-1,Cluster 13,8,176.61
mkkfhmdn-1,Cluster 3,0,24.47
mhhonlhh-1,Cluster 13,16,178.37
mhlcigpd-1,Cluster 21,0,46.96
obafjlhd-1,Cluster 1,3,40.91
mhcaahho-1,Cluster 1,1,26.33
oigelhda-1,Unassigned,0,10.48
obcheiji-1,Cluster 19,1,46.29
mhlaajnd-1,Cluster 6,0,49.90
mhldgekn-1,Cluster 13,6,165.50
mhcfdpab-1,Cluster 21,1,50.62
mhhonlbm-1,Cluster 21,0,99.80
mhlalkdd-1,Cluster 7,0,135.20
mhcfdkoc-1,Cluster 13,18,231.88
mhlanaeg-1,Cluster 19,3,119.03
apipdfjj-1,Cluster 19,7,133.80
mhlaeeep-1,Cluster 22,1,117.14
apjcfneg-1,Cluster 17,0,188.48
mhbnnoon-1,Cluster 10,0,70.26
mhlcifge-1,Cluster 2,0,39.56
mhlbpgcp-1,Cluster 7,0,48.09
apjcmpga-1,Cluster 17,0,326.66
apjagaga-1,Cluster 17,8,276.99
obbcinin-1,Cluster 19,0,15.53
mhcfbcoc-1,Cluster 35,0,89.45
mhlddefn-1,Cluster 13,6,79.88
mkkckafa-1,Cluster 6,2,10.84
obbblgcj-1,Cluster 19,0,28.72
apfmbfhn-1,Cluster 13,12,145.00
apfledef-1,Cluster 13,11,164.19
oigjgall-1,Cluster 2,3,181.30
mhaiigoj-1,Cluster 28,0,291.75
apecpoka-1,Cluster 13,10,134.02
apfigicg-1,Cluster 22,0,148.34
apgbjlcl-1,Cluster 22,1,146.53
mkncchop-1,Cluster 6,0,34.59
apfmhnhd-1,Cluster 17,0,208.85
apfcfcjm-1,Cluster 13,9,147.03
apfibkpd-1,Cluster 13,9,162.29
mknclkpp-1,Cluster 13,3,98.17
apgcekmn-1,Cluster 19,9,323.27
apfhjgdp-1,Cluster 13,14,134.61
apedlhce-1,Cluster 13,15,132.31
apepogof-1,Cluster 31,0,154.25
mkkigood-1,Cluster 13,2,133.57
miapelmh-1,Cluster 28,5,206.45
mkkeohge-1,Cluster 22,0,94.20
miamfhej-1,Cluster 19,11,236.21
obdejbil-1,Cluster 19,5,169.20
ogpbcafh-1,Cluster 19,0,20.73
apengaol-1,Cluster 13,13,160.94
obbaiaef-1,Cluster 13,2,56.17
apecaieo-1,Cluster 13,17,158.36
miakkepi-1,Cluster 2,0,27.77
mkkhhljp-1,Cluster 13,11,111.36
