#Selection name: Selection 1
#Area (µm^2): 4378331.15
Cell ID,Cluster,Transcripts,Area (µm^2)
bkdfpila-1,Cluster 10,0,146.26
mgcahhal-1,Cluster 6,0,24.20
bkebgkpc-1,Cluster 10,0,154.66
bkdglcop-1,Cluster 10,0,277.85
bkebmcaj-1,Cluster 10,0,179.63
mggdnpab-1,Cluster 31,0,161.21
mgagogpg-1,Cluster 10,0,107.65
mgcaondn-1,Cluster 3,0,40.41
mgcabhlc-1,Cluster 10,0,117.36
bkecipll-1,Cluster 10,0,170.69
bkeamjok-1,Cluster 10,0,238.38
mgbppfag-1,Cluster 8,0,61.46
mgcaoeid-1,Cluster 31,0,138.31
mgaihkep-1,Cluster 3,0,26.33
mgblglei-1,Cluster 3,0,74.01
mgcbahkb-1,Cluster 14,0,110.09
mgbjngkb-1,Cluster 21,0,155.16
bkdkmlck-1,Cluster 10,0,198.28
bkdlnoma-1,Cluster 10,0,177.37
mggejlbd-1,Cluster 3,0,39.60
mggbmhjo-1,Cluster 10,0,110.27
mggciahj-1,Cluster 8,0,22.62
mggboagi-1,Cluster 8,0,18.65
bkeaopck-1,Cluster 10,0,142.20
mgbhkngn-1,Cluster 10,0,142.11
mgakdbpn-1,Cluster 3,0,38.92
bkeibgof-1,Cluster 10,0,165.81
ohbojhgo-1,Cluster 14,0,258.66
mgaheidf-1,Cluster 31,0,129.82
bkedaigc-1,Cluster 10,0,162.43
mgbjafib-1,Cluster 8,0,26.42
mgbdfikm-1,Cluster 10,0,174.98
mgbjfilo-1,Cluster 3,0,66.88
mgbjkpab-1,Cluster 1,0,94.83
mgbdmmaj-1,Cluster 10,0,148.61
mgbfdhoj-1,Cluster 1,0,92.12
mgbgmfgk-1,Cluster 3,0,48.18
mgamikdj-1,Cluster 10,0,10.39
mgafmkgo-1,Cluster 14,0,94.56
mgfiilil-1,Cluster 10,0,120.61
mggbeagf-1,Cluster 10,0,138.95
mhbpokki-1,Cluster 10,0,105.62
ohcaaiko-1,Cluster 14,0,238.29
mggjkiae-1,Cluster 8,0,49.76
bkndilkn-1,Cluster 10,0,210.70
bkneaaba-1,Cluster 10,0,144.68
mggjlnph-1,Cluster 14,0,80.15
mgfngamb-1,Cluster 31,0,84.22
mgfbcpdg-1,Cluster 10,0,148.93
mgglphng-1,Cluster 2,0,45.25
bknbplig-1,Cluster 10,0,193.27
mgggdfoe-1,Cluster 3,0,103.05
bkncdlll-1,Cluster 10,0,199.77
mgfcpplp-1,Cluster 10,0,180.53
mggfmbef-1,Cluster 8,0,29.17
mggkadmg-1,Cluster 3,0,55.50
mgfnniib-1,Cluster 15,0,152.45
bknbikpg-1,Cluster 10,0,151.91
mgflleoe-1,Cluster 10,0,136.10
mggdghod-1,Cluster 16,0,35.00
mggdnleo-1,Cluster 3,0,23.75
mgfnbnan-1,Cluster 10,0,100.25
mgfnfanf-1,Cluster 10,0,96.41
mgfoaloh-1,Cluster 30,0,114.88
mggjojdi-1,Cluster 3,0,83.22
mggffhnh-1,Cluster 1,0,105.03
ohcbcfdm-1,Cluster 2,0,30.62
obnmijhg-1,Cluster 10,0,49.13
mggffjjo-1,Cluster 1,0,81.37
bkndjflg-1,Cluster 10,0,125.53
bkdijgkh-1,Cluster 10,0,151.18
mgfkmmoi-1,Cluster 10,0,111.22
mgfbongd-1,Cluster 10,0,128.02
bkddipke-1,Cluster 10,0,163.38
obnogadh-1,Cluster 16,0,25.24
mggfmbcd-1,Cluster 7,0,149.69
mgfcjmfp-1,Cluster 10,0,75.14
obnnelba-1,Cluster 8,0,8.62
mgfdalgh-1,Cluster 14,0,68.28
mgfaibhg-1,Cluster 10,0,128.20
mggcmjnj-1,Cluster 14,0,60.74
mgfapdkj-1,Cluster 8,0,46.24
mggallod-1,Cluster 14,0,74.42
obnpnfge-1,Cluster 31,0,46.51
bkdieeem-1,Cluster 10,0,164.91
mgfhmlgp-1,Cluster 10,0,124.77
bkdkgnna-1,Cluster 10,0,103.27
mgfkjofn-1,Cluster 10,0,92.16
bkmcokkg-1,Cluster 10,0,219.78
mhagpnip-1,Cluster 5,0,85.66
obopejfo-1,Cluster 5,0,72.16
mgpkchlp-1,Cluster 10,0,264.48
mhchemlf-1,Cluster 14,0,109.01
mhafokpn-1,Cluster 14,0,65.03
mhahjapp-1,Cluster 10,0,251.93
bkdjohcc-1,Cluster 10,0,227.86
mgaengdc-1,Cluster 3,0,69.36
mhchaegm-1,Cluster 3,0,93.56
mgpeciei-1,Cluster 10,0,84.98
mgadjokg-1,Cluster 3,0,60.24
bkdcfogc-1,Cluster 10,0,169.38
mhagaejb-1,Cluster 10,0,166.45
bkmbndcl-1,Cluster 10,0,197.69
mgaefmim-1,Cluster 3,0,30.07
mgpfhfbn-1,Cluster 15,0,89.32
mgaecieh-1,Cluster 3,0,61.50
bkdceief-1,Cluster 5,0,203.56
mgagfain-1,Cluster 10,0,105.49
mgpiaohc-1,Cluster 10,0,228.90
mhabbibi-1,Cluster 14,0,98.71
mgphcjmp-1,Cluster 10,0,190.24
obompapm-1,Cluster 10,0,180.67
mgpgacmf-1,Cluster 10,0,157.41
mhahjoea-1,Cluster 10,0,235.08
mgphhdii-1,Cluster 14,0,100.97
mgbfpkla-1,Cluster 10,0,197.15
mgphlhjn-1,Cluster 10,0,155.74
mgbglpoa-1,Cluster 10,0,309.09
mgpmbceo-1,Cluster 10,0,146.40
bkdmandm-1,Cluster 10,0,194.80
mhadjbli-1,Cluster 15,0,179.81
bkeidjbb-1,Cluster 10,0,212.23
mgafpmmp-1,Cluster 11,0,50.67
mhacoooc-1,Cluster 14,0,86.65
mhahjoco-1,Cluster 10,0,116.01
mhacoofl-1,Cluster 16,0,23.44
mhacljai-1,Cluster 10,0,85.21
mgagflen-1,Cluster 10,0,178.05
bkehlkhc-1,Cluster 10,0,265.16
mhaalnbf-1,Cluster 5,0,178.91
bkdlogoh-1,Cluster 10,0,173.22
bkdpfmlc-1,Cluster 5,0,139.62
mgpgbdnk-1,Cluster 31,0,70.53
bkefjdgk-1,Cluster 31,0,193.09
mgbfhfpl-1,Cluster 10,0,183.52
bkdlemfc-1,Cluster 5,0,154.52
bkeidbhi-1,Cluster 10,0,200.99
bkdlohef-1,Cluster 10,0,197.78
mgphcpac-1,Cluster 3,0,84.22
bkejdfpg-1,Cluster 10,0,195.80
obojkiph-1,Cluster 10,0,81.60
mgpplabf-1,Cluster 15,0,142.74
mgpihmia-1,Cluster 2,0,27.18
bkdkopbb-1,Cluster 10,0,229.80
