#Selection name: Selection 1
#Area (µm^2): 2480733.99
Cell ID,Cluster,Transcripts,Area (µm^2)
mlnoakob-1,Cluster 22,0,130.46
mmhpeegk-1,Cluster 17,0,169.02
ocaglpgf-1,Cluster 8,0,30.89
mplajnjp-1,Cluster 2,0,85.21
mlobdigk-1,Cluster 17,1,204.42
mklmlhkh-1,Cluster 28,2,114.52
mlobklhb-1,Cluster 17,0,142.15
mlobbnie-1,Cluster 6,0,47.87
aepakjni-1,Cluster 22,0,131.86
aeojplhf-1,Cluster 14,0,117.54
mlnoibpo-1,Cluster 6,0,122.92
aepcdbhi-1,Cluster 10,0,132.17
mpkonfel-1,Cluster 33,0,254.82
mlobolgg-1,Cluster 1,0,127.97
mmhbfmpj-1,Cluster 17,1,99.39
mmhbhmpg-1,Cluster 2,0,37.03
mpkoojch-1,Cluster 2,0,41.81
mmhcpicl-1,Cluster 2,0,18.69
aeopklin-1,Cluster 28,0,179.77
mklliddc-1,Cluster 28,1,111.13
mmhbcibd-1,Cluster 4,0,128.97
mlocgggp-1,Cluster 1,0,38.47
aepbnoei-1,Cluster 17,0,124.00
mpkpmeph-1,Cluster 17,1,267.28
mplcbcpm-1,Cluster 22,0,103.99
mlnoplfa-1,Cluster 10,0,60.87
mlodnkfo-1,Cluster 3,0,43.49
mlmeeikh-1,Cluster 22,0,30.75
obnadmon-1,Cluster 19,0,108.69
mloeacib-1,Cluster 28,1,165.50
mlmfakgm-1,Cluster 17,0,109.14
mlocdmnd-1,Cluster 17,0,151.23
mloimbeh-1,Cluster 24,0,196.79
mlojfjem-1,Cluster 2,0,80.02
mlojdchk-1,Cluster 28,0,158.77
ocahccad-1,Cluster 28,0,112.39
afakfkmo-1,Cluster 28,1,192.23
aeodofmd-1,Cluster 17,0,198.91
mloabbpm-1,Cluster 10,0,125.04
mlojdnpj-1,Cluster 3,0,58.97
mmialelp-1,Cluster 19,0,106.21
mloflnlp-1,Cluster 4,0,155.92
mplbmcob-1,Cluster 17,0,225.69
mlojamhk-1,Cluster 22,0,126.48
mlmdlndf-1,Cluster 3,0,54.59
mloimbdj-1,Cluster 1,0,125.35
mmibfppb-1,Cluster 14,0,114.11
afambedf-1,Cluster 22,0,117.59
mlnphcbp-1,Cluster 2,0,52.70
aeoffipj-1,Cluster 22,0,162.65
mlmdmkdi-1,Cluster 6,0,52.79
mmibdcll-1,Cluster 17,0,210.29
mlmigllb-1,Cluster 17,0,113.21
mmibknop-1,Cluster 17,0,140.80
oihpeoph-1,Cluster 1,0,177.51
mnjjdkkf-1,Cluster 9,0,159.90
aemlcfgh-1,Cluster 9,0,164.14
mojdmnfa-1,Cluster 12,0,225.69
mojdecjk-1,Cluster 6,0,58.48
aemgnckd-1,Cluster 9,0,167.08
ohamniao-1,Cluster 1,0,163.10
mojdggja-1,Cluster 12,0,28.09
aemhnbbf-1,Cluster 9,0,148.29
modkgcif-1,Cluster 7,0,38.16
obodpeaf-1,Cluster 9,0,79.48
modnhlhc-1,Cluster 31,0,79.48
aemifojf-1,Cluster 9,0,171.55
mofhnnbn-1,Cluster 9,0,139.53
mojglepp-1,Cluster 1,0,131.63
moffdhgp-1,Cluster 7,0,76.90
aemhpfjg-1,Cluster 9,0,148.97
aemgepbd-1,Cluster 9,0,176.43
mofmdogp-1,Cluster 9,0,166.99
moffboce-1,Cluster 6,0,41.14
mofgjcej-1,Cluster 12,0,154.66
modkbbmk-1,Cluster 7,0,53.47
modkkglb-1,Cluster 7,0,81.06
aemoknnb-1,Cluster 12,0,168.34
