names,scores,logfoldchanges,pvals,pvals_adj
Gm36101,0.056530565,0.6457675,0.9549191474344373,1.0
Gm35041,0.056530565,0.97503114,0.9549191474344373,1.0
Sowahc,0.056530565,0.93668586,0.9549191474344373,1.0
Gm12536,0.056530565,0.80109864,0.9549191474344373,1.0
Pkp1,0.056530565,0.8865084,0.9549191474344373,1.0
Gm34022,0.056530565,0.9618635,0.9549191474344373,1.0
Gm11749,0.056530565,0.86063373,0.9549191474344373,1.0
Gm42664,0.056530565,0.74988264,0.9549191474344373,1.0
Ggt5,0.056530565,0.7768919,0.9549191474344373,1.0
Mrgprd,0.056530565,0.8162463,0.9549191474344373,1.0
Sst,0.056530565,0.8359968,0.9549191474344373,1.0
Nkd2,0.056530565,0.9391438,0.9549191474344373,1.0
Gm15624,0.056530565,1.0163468,0.9549191474344373,1.0
Far1os,0.056530565,0.8535834,0.9549191474344373,1.0
Gm11099,0.056530565,1.0097384,0.9549191474344373,1.0
Fzd5,0.056530565,0.8690965,0.9549191474344373,1.0
Gal3st2b,0.056530565,0.8072983,0.9549191474344373,1.0
Bpifb2,0.056530565,0.8185589,0.9549191474344373,1.0
D530033B14Rik,0.05651047,0.7656654,0.9549351534329795,1.0
Tnfrsf10b,0.05651047,0.8620514,0.9549351534329795,1.0
Mir17hg,0.05651047,0.71890247,0.9549351534329795,1.0
Slc6a16,0.05651047,0.8347933,0.9549351534329795,1.0
1700112J05Rik,0.05651047,0.8848218,0.9549351534329795,1.0
Zmynd10,0.05651047,0.7082931,0.9549351534329795,1.0
Gm47381,0.05651047,0.81862277,0.9549351534329795,1.0
Gbp2,0.05651047,0.5197881,0.9549351534329795,1.0
Gm49198,0.05651047,0.7512141,0.9549351534329795,1.0
1700026N04Rik,0.05651047,0.82987934,0.9549351534329795,1.0
Best1,0.05651047,0.7091234,0.9549351534329795,1.0
Plcxd1,0.05651047,0.89582556,0.9549351534329795,1.0
Gm16195,0.05651047,0.76538205,0.9549351534329795,1.0
Gm17057,0.05651047,0.7095109,0.9549351534329795,1.0
Gm15726,0.05651047,0.68271005,0.9549351534329795,1.0
Gm17535,0.05651047,0.5974057,0.9549351534329795,1.0
Gm30489,0.05651047,0.99383414,0.9549351534329795,1.0
Gm21154,0.05651047,0.7924661,0.9549351534329795,1.0
Gm15850,0.05651047,0.8986431,0.9549351534329795,1.0
Nxph3,0.05651047,0.8622042,0.9549351534329795,1.0
Spatc1l,0.05651047,0.76085,0.9549351534329795,1.0
Gm5678,0.05651047,0.82455665,0.9549351534329795,1.0
Mmp9,0.05649038,0.81750435,0.9549511594496956,1.0
Siah1b,0.05649038,0.8798304,0.9549511594496956,1.0
Slc4a1,0.05649038,0.9105411,0.9549511594496956,1.0
Vmn2r100,0.05649038,0.65842324,0.9549511594496956,1.0
4930542D17Rik,0.05649038,0.6339741,0.9549511594496956,1.0
Gm45307,0.05649038,0.6670332,0.9549511594496956,1.0
Gm33699,0.05649038,0.97303927,0.9549511594496956,1.0
Plin4,0.05649038,0.7336532,0.9549511594496956,1.0
4930554C24Rik,0.05649038,0.73343927,0.9549511594496956,1.0
Mki67,0.05649038,0.81766385,0.9549511594496956,1.0
Gm30146,0.05649038,0.41859826,0.9549511594496956,1.0
Gm26834,0.05649038,0.6769704,0.9549511594496956,1.0
Cd55,0.05649038,0.746202,0.9549511594496956,1.0
Ear1,0.05649038,0.61074835,0.9549511594496956,1.0
Cdc42ep5,0.05649038,0.6501133,0.9549511594496956,1.0
Lst1,0.05649038,0.54271114,0.9549511594496956,1.0
Serpinb7,0.05649038,0.8226075,0.9549511594496956,1.0
Gm49272,0.05649038,0.74845046,0.9549511594496956,1.0
Gm36667,0.05649038,0.68844885,0.9549511594496956,1.0
2010320M18Rik,0.05649038,0.50051904,0.9549511594496956,1.0
Rsc1a1,0.05649038,0.848688,0.9549511594496956,1.0
Gm11725,0.05649038,0.60103637,0.9549511594496956,1.0
Gm16263,0.05649038,0.59836864,0.9549511594496956,1.0
Lgals3,0.05649038,0.7578633,0.9549511594496956,1.0
E330011O21Rik,0.05649038,0.45106596,0.9549511594496956,1.0
E230001N04Rik,0.05649038,1.0142908,0.9549511594496956,1.0
Gm47599,0.05649038,0.6425172,0.9549511594496956,1.0
Tfpi,0.05649038,0.6864082,0.9549511594496956,1.0
Gm44271,0.05649038,0.57416904,0.9549511594496956,1.0
Col6a5,0.05649038,0.64259,0.9549511594496956,1.0
Gm47847,0.05649038,0.7180124,0.9549511594496956,1.0
3930402G23Rik,0.05649038,0.7791734,0.9549511594496956,1.0
Mhrt,0.05649038,0.6571007,0.9549511594496956,1.0
Gm34322,0.05649038,0.7181639,0.9549511594496956,1.0
Slc6a14,0.05649038,0.6975912,0.9549511594496956,1.0
Arhgap30,0.05649038,0.84239256,0.9549511594496956,1.0
Sult2a6,0.05649038,0.78822845,0.9549511594496956,1.0
4931428F04Rik,0.056450196,-0.18930086,0.9549831715376237,1.0
Mill2,0.05635978,0.37333202,0.9550551990008944,1.0
