names,scores,logfoldchanges,pvals,pvals_adj
Zfp445,-1.0823609,-0.1403183,0.27909220183010675,1.0
Il17rd,-1.0824846,-0.2949939,0.27903724998507706,1.0
Adcyap1r1,-1.0826374,-0.22362968,0.2789693784545324,1.0
Siah3,-1.0826592,-2.659665,0.27895968343830846,1.0
Syngr1,-1.0835981,-0.43006095,0.2785430145300122,1.0
Setd7,-1.0836272,-0.16199379,0.2785301013365813,1.0
Cfap74,-1.0837219,-0.24601044,0.27848813627125035,1.0
Crim1,-1.0848572,-0.1515703,0.2779848910769368,1.0
Antxr1,-1.0856433,-0.09632274,0.2776368534499447,1.0
Mfap3l,-1.0867859,-0.1285675,0.27713143930987993,1.0
Etl4,-1.087208,-0.1034019,0.27694488447319165,1.0
Ddhd2,-1.0881104,-0.21881145,0.2765463302122161,1.0
Slf2,-1.0881104,-0.18747096,0.2765463302122161,1.0
Mapkbp1,-1.088176,-0.29364246,0.27651741811407826,1.0
Mtdh,-1.0884235,-0.06915085,0.27640821322932163,1.0
Dok6,-1.0905559,-0.11287698,0.2754683426520027,1.0
Arhgap31,-1.0907888,-0.123833716,0.27536582692397116,1.0
Vegfc,-1.0920334,-1.0402169,0.2748184498431072,1.0
Dip2b,-1.092652,-0.0945331,0.2745466384430312,1.0
Galnt13,-1.0942022,-0.26501688,0.273866317798819,1.0
Kansl1l,-1.0944351,-0.115298316,0.27376420963366643,1.0
Bag3,-1.0948354,-0.5218396,0.27358877202489484,1.0
Ddx6,-1.0953012,-0.12438087,0.2733847232092347,1.0
Edc3,-1.0956213,-0.5216647,0.27324450002089273,1.0
Pgap1,-1.0975864,-0.37910956,0.27238511646488484,1.0
Wdr20,-1.0977612,-0.15335535,0.27230881643073024,1.0
Hebp1,-1.0997117,-0.5297241,0.2714577930260963,1.0
Cic,-1.1002575,-0.4105377,0.27121996007552296,1.0
Rasgrf1,-1.1014583,-0.3162191,0.2706972301965832,1.0
Eif4g1,-1.1015893,-0.09600396,0.2706402469220557,1.0
Prkd3,-1.1018586,-0.22955059,0.27052314045844394,1.0
St7,-1.1033725,-0.19242838,0.26986545880176493,1.0
Sobp,-1.1047189,-0.11361541,0.26928142383808296,1.0
Cep170,-1.1049227,-0.19650306,0.26919310499648086,1.0
Gm49223,-1.1049955,-0.19629757,0.2691615673719434,1.0
Evl,-1.1085253,-0.2354493,0.2676350362655743,1.0
Exoc3,-1.109122,-0.25690624,0.26737753163212674,1.0
Erc2,-1.1093622,-0.11556951,0.26727394980379393,1.0
Colq,-1.1097553,-0.56655306,0.26710451178818206,1.0
Selenow,-1.1106795,-0.36152735,0.26670630988135646,1.0
Asph,-1.1107814,-0.1459408,0.26666243861271755,1.0
Sacs,-1.1111162,-0.5642044,0.2665183251160613,1.0
Pde2a,-1.1122079,-0.35805267,0.2660487621335571,1.0
Iqce,-1.1125209,-0.17986298,0.26591425916731204,1.0
Hnrnph3,-1.1127828,-0.19620644,0.26580168804157855,1.0
Itprid2,-1.1132923,-0.192242,0.26558289368127763,1.0
Pknox2,-1.113729,-0.14560878,0.265395454400292,1.0
Rtp4,-1.1163855,-0.23850618,0.2642571620297651,1.0
Sergef,-1.1179576,-0.3730775,0.2635851301670551,1.0
Fbxl12,-1.1194713,-0.5228191,0.26293910367490403,1.0
Zfp395,-1.1198716,-0.42440638,0.26276846224297856,1.0
Ftx,-1.1201992,-0.22365461,0.26262890340981215,1.0
Inpp5j,-1.1204029,-2.249268,0.2625420926386013,1.0
Mpp7,-1.1207377,-0.37422693,0.2623995179666607,1.0
Kdm1a,-1.1213346,-0.19950576,0.26214549576559,1.0
Frrs1,-1.1213418,-0.3953528,0.26214239898275216,1.0
Tenm2,-1.121924,-0.05755166,0.26189473823695275,1.0
Jmy,-1.1230885,-0.3136718,0.26139990190203233,1.0
Sec61a2,-1.1235471,-0.19773601,0.26120523756406255,1.0
Zup1,-1.1235834,-0.16499062,0.2611897923078045,1.0
Nmi,-1.1241511,-0.527004,0.2609489280733517,1.0
Papola,-1.1254247,-0.11413879,0.2604090866349127,1.0
Rock2,-1.1262981,-0.11935275,0.26003935657066424,1.0
Klhl7,-1.1264,-0.1744076,0.2599962450766391,1.0
Acbd5,-1.1268804,-0.14764935,0.25979307181624733,1.0
Dnajc3,-1.1281686,-0.19196837,0.25924874084245253,1.0
Eef2,-1.1287072,-0.29473168,0.25902140178903144,1.0
Gm16867,-1.1291511,-0.1916147,0.2588341045593546,1.0
Pitpnm1,-1.1329356,-0.71855074,0.25724128210520936,1.0
4732471J01Rik,-1.1338527,-0.13427055,0.2568563549230688,1.0
Mpzl1,-1.1338673,-0.19764271,0.2568502481932684,1.0
Crip2,-1.1343257,-0.51022106,0.2566579377934807,1.0
Herc4,-1.134777,-0.10930481,0.25646877756684905,1.0
A330076H08Rik,-1.1359997,-0.15675811,0.2559567010343732,1.0
Epb41l4a,-1.1367565,-0.8756338,0.2556400574837473,1.0
Ptar1,-1.1368803,-0.13828066,0.25558832433928447,1.0
Adgrg1,-1.1388235,-0.4071076,0.2547767640955495,1.0
Rictor,-1.1398133,-0.15826215,0.2543640747737014,1.0
Os9,-1.1400462,-0.24489151,0.25426703903435033,1.0
