names,scores,logfoldchanges,pvals,pvals_adj
Sec24c,-0.33506888,-0.038916834,0.7375731155978892,1.0
Marchf5,-0.3350771,-0.049956582,0.7375669319170639,1.0
Mrpl51,-0.33514267,-0.56672984,0.7375174630819705,1.0
Grk5,-0.3354706,-0.00013180693,0.7372701352191877,1.0
C130026I21Rik,-0.33563453,-0.51418483,0.7371464814882394,1.0
Ccdc62,-0.33594605,0.0019886817,0.7369115581475238,1.0
Nme5,-0.33623296,-0.17004073,0.7366952031347656,1.0
Slc31a1,-0.33629033,-0.0989937,0.736651934636217,1.0
Topors,-0.33632314,-0.014089516,0.7366272101547768,1.0
Smc2,-0.3367494,-0.06787255,0.7363058167170977,1.0
Alg11,-0.33693796,-0.9124468,0.7361636766391204,1.0
Rarres2,-0.33701172,-1.3088019,0.7361080590663173,1.0
A430073D23Rik,-0.33720028,-0.2820181,0.7359659315524513,1.0
Coasy,-0.33720848,-0.937923,0.7359597523002653,1.0
Lap3,-0.337397,-0.05861521,0.7358176342151719,1.0
Calb2,-0.33756918,-3.258733,0.7356878821197893,1.0
Tmf1,-0.33769214,0.014540408,0.7355952066677809,1.0
Commd2,-0.33774132,-0.51501757,0.7355581375643971,1.0
Grk6,-0.3378479,-0.039494034,0.7354778232863317,1.0
Zfp780b,-0.33785608,-0.014365444,0.7354716453847017,1.0
Pex1,-0.33788887,0.021699188,0.7354469339492888,1.0
