names,scores,logfoldchanges,pvals,pvals_adj
Gm41545,0.060382564,1.4097662,0.951850945659574,1.0
Polr2l,0.060382564,1.2529402,0.951850945659574,1.0
Rhoc,0.060382564,0.45355377,0.951850945659574,1.0
Gm3830,0.060344297,1.2741648,0.9518814213378456,1.0
Mgam2-ps,0.060344297,1.3767354,0.9518814213378456,1.0
Triml2,0.060344297,1.3379703,0.9518814213378456,1.0
Cd36,0.060344297,1.4013686,0.9518814213378456,1.0
Gm41505,0.060344297,1.3560404,0.9518814213378456,1.0
Gm34667,0.060344297,1.2195323,0.9518814213378456,1.0
Atp6v0d2,0.060344297,1.3455667,0.9518814213378456,1.0
Oas1g,0.060344297,1.303096,0.9518814213378456,1.0
B930036N10Rik,0.060344297,1.2618693,0.9518814213378456,1.0
Asb12,0.060344297,0.6899215,0.9518814213378456,1.0
Uchl1os,0.060344297,1.3799169,0.9518814213378456,1.0
5033417F24Rik,0.060344297,1.3489367,0.9518814213378456,1.0
Fam166c,0.06030603,1.2523994,0.9519118970864885,1.0
Cfap206,0.06030603,1.2526566,0.9519118970864885,1.0
Gm48860,0.06026777,1.2431034,0.9519423729054581,1.0
Cyp2j11,0.06026777,1.2426844,0.9519423729054581,1.0
Zfp931,0.06026777,0.6770933,0.9519423729054581,1.0
Gm30275,0.06026777,1.2820868,0.9519423729054581,1.0
Gm27167,0.06026777,1.2509106,0.9519423729054581,1.0
Gm15559,0.06026777,0.6883362,0.9519423729054581,1.0
Tgif2,0.06026777,1.1846533,0.9519423729054581,1.0
Morc1,0.06026777,0.62600523,0.9519423729054581,1.0
Gm49747,0.06026777,1.2647765,0.9519423729054581,1.0
Smim12,0.060229503,1.1747473,0.9519728487947099,1.0
Fam83e,0.060229503,1.1911819,0.9519728487947099,1.0
Mta1,0.06021037,0.34684435,0.9519880867656777,1.0
Fos,0.060191236,0.7369318,0.9520033247541995,1.0
Pprc1,0.060114708,0.30733463,0.9520642768837141,1.0
Prox1os,0.060114708,1.0062946,0.9520642768837141,1.0
Tram1l1,0.060114708,0.6566637,0.9520642768837141,1.0
Gm37305,0.060114708,0.99756783,0.9520642768837141,1.0
Shc2,0.05992338,0.57878083,0.9522166584335492,1.0
Zfp97,0.059885114,0.42185935,0.9522471349533402,1.0
4930578M01Rik,0.059789453,0.41687927,0.9523233265582601,1.0
Ppil3,0.059655525,0.52889013,0.9524299955371199,1.0
Mthfd2l,0.05961726,0.33600762,0.9524604725448405,1.0
Dcp1a,0.059445065,0.21541613,0.9525976199393291,1.0
Pdpn,0.059311137,0.27949706,0.9527042911058174,1.0
Zfp626,0.05889022,0.31961188,0.9530395488508409,1.0
Traf4,0.05883282,0.3505235,0.9530852664612798,1.0
Scrib,0.058813687,0.28385648,0.9531005056990742,1.0
Ttc8,0.058641493,0.21767834,0.9532376596102223,1.0
Psmd9,0.058507565,0.37643716,0.9533443358321488,1.0
Rbm19,0.058373637,0.26804942,0.9534510128899747,1.0
Gdap1l1,0.058354504,0.35252,0.9534662525377896,1.0
Chchd7,0.058163177,0.47298986,0.9536186499508293,1.0
Rere,0.058144048,-0.1737534,0.9536338897855,1.0
Bag4,0.058124915,0.34306398,0.9536491296371243,1.0
Cfap418,0.05802925,0.272035,0.9537253291493542,1.0
Cxxc4,0.057990987,0.26424766,0.9537558090727262,1.0
Wbp2,0.057914454,0.34322363,0.9538167691223346,1.0
Impg2,0.057818793,0.46234626,0.9538929695642567,1.0
Lyrm9,0.057627466,0.45925644,0.9540453717118322,1.0
B2m,0.057493538,0.5449042,0.9541520542152692,1.0
Tnni3k,0.057397872,0.42833796,0.9542282565064845,1.0
Kpna7,0.05722568,0.61464375,0.9543654216846162,1.0
Wdr53,0.057187416,0.6847428,0.954395903019008,1.0
Gm49797,0.05709175,0.16626045,0.9544721066467118,1.0
Rpl5,0.05709175,0.24397953,0.9544721066467118,1.0
Anxa6,0.05699609,0.11036254,0.9545483106906085,1.0
Fip1l1,0.056976955,0.23817894,0.9545635515492699,1.0
Ubtd2,0.056823894,0.22501627,0.9546854790162101,1.0
Tram1,0.056747366,0.42136133,0.9547464431475351,1.0
Gm43263,0.056728233,0.5634082,0.9547616842217492,1.0
Ift22,0.056689966,0.5325535,0.9547921664197982,1.0
