,KO_n,KO_s,KO_l,KO_p
245,Septin8,6.6681957,0.38054526,3.0020615108027124e-09
246,Alcam,6.6647367,0.36000565,3.062606668590742e-09
247,Ncam2,6.6617727,0.3550638,3.1138632901203132e-09
248,Mink1,6.657486,0.41882572,3.19461748261942e-09
249,Ip6k1,6.653673,0.3827561,3.2668912976763356e-09
250,Nxpe4,6.6323614,0.3777843,3.762000799879849e-09
251,Sorbs3,6.619603,0.47029823,4.086977461007742e-09
252,Sidt2,6.618739,0.45780766,4.0965115450719855e-09
253,Sh3rf1,6.6175733,0.4251113,4.114504424596834e-09
254,St6gal1,6.6135416,0.36897206,4.213462111929738e-09
255,Plce1,6.607923,0.48847997,4.361261318764041e-09
256,Zfpm2,6.5990367,0.369678,4.614789428752462e-09
257,Cmss1,6.5971823,0.4021084,4.656754371595004e-09
258,Firre,6.580444,0.40675047,5.194484864540474e-09
259,Lcorl,6.579626,0.38548213,5.205243758509876e-09
260,Baalc,6.576693,0.36768618,5.290792581140889e-09
261,Bcan,6.5683975,0.18026277,5.575010325260216e-09
262,Pdgfc,6.567647,0.5927502,5.584183816756754e-09
263,Gm28175,6.564381,0.3806468,5.686400789482652e-09
264,Abat,6.5639377,0.36707875,5.686400789482652e-09
265,Ckap5,6.5506606,0.37693968,6.191843058284357e-09
266,Txndc16,6.550233,0.59663886,6.191843058284357e-09
267,Fam13c,6.549033,0.37473452,6.220967352512182e-09
268,Meis1,6.541638,0.5241108,6.514859368954267e-09
269,Trps1,6.5364656,0.34163195,6.707521582946679e-09
270,Dennd4c,6.536288,0.40997487,6.707521582946679e-09
271,Foxo1,6.532612,0.3692786,6.851672035605386e-09
272,Kctd1,6.5306053,0.3988379,6.921350511921804e-09
273,Strn3,6.508945,0.3667493,7.95237995446538e-09
274,Pcsk6,6.5087957,0.41530356,7.95237995446538e-09
275,Tmem47,6.502295,0.41230246,8.276864909355762e-09
276,Coq8b,6.5007787,0.4470648,8.333698261737452e-09
277,Rnf180,6.4912496,0.38175577,8.849660781188051e-09
278,Nsmf,6.4878836,0.37973347,9.020507574721222e-09
279,Vti1a,6.476157,0.37534887,9.71851587885421e-09
280,Dennd1b,6.474787,0.3905723,9.775751037915507e-09
281,Bmpr1a,6.4642916,0.3723615,1.0445509266909987e-08
282,Kcnip3,6.4637084,0.35554492,1.0452561949300053e-08
283,Cdh10,6.4562716,0.2981444,1.0944316109396874e-08
284,Ogdhl,6.4499726,0.5364171,1.1373020144993939e-08
285,Usp32,6.4472847,0.37915695,1.1540077740573159e-08
286,Hibadh,6.440279,0.47703984,1.204766904362318e-08
287,Gulp1,6.439322,0.3598815,1.2085982906010687e-08
288,Mfge8,6.4327826,0.4249849,1.257843457328901e-08
289,Nipsnap2,6.43074,0.4353465,1.2709085292284554e-08
290,Bptf,6.4219074,0.37562874,1.3427296772547342e-08
291,Crtc3,6.4201303,0.36569488,1.3543072966988551e-08
292,Prrx1,6.417739,0.39129683,1.3715118826930593e-08
293,Ehmt1,6.408533,0.3640385,1.4524551664306866e-08
294,Ptar1,6.4045787,0.44988436,1.4860428375873338e-08
295,2610035D17Rik,6.403067,0.36606285,1.496260518809754e-08
296,Diaph3,6.394547,0.49144432,1.5773031986411393e-08
297,Slc1a3,6.383927,0.17491274,1.6856029528579716e-08
298,Ubp1,6.373475,0.41674253,1.7991875252776525e-08
299,Fto,6.3677406,0.36845186,1.8621086835476423e-08
300,Map2,6.3565173,0.38236648,1.9972933151925598e-08
301,Gm47283,6.3558154,0.36492026,2.0004247973089993e-08
302,Igsf11,6.3396707,0.33927798,2.2150733147487794e-08
303,Nipbl,6.3379345,0.36491388,2.23350197362749e-08
304,Pacrg,6.333936,0.36668444,2.2853848151165317e-08
305,Egfr,6.328963,0.34921664,2.353279714570119e-08
306,Akap6,6.3284883,0.3688751,2.3535650178299463e-08
307,Eif4g1,6.320177,0.3573679,2.4763944008916502e-08
308,Ralgps2,6.313442,0.43092683,2.579071497604015e-08
309,Pld2,6.3108006,0.35467947,2.615809969425263e-08
310,Gigyf1,6.308683,0.3711844,2.6441171807586977e-08
311,Zfp973,6.2850933,0.35662293,3.0606933790280746e-08
312,Astn2,6.281152,0.34338316,3.130243720608687e-08
313,Ptch1,6.273991,0.34888476,3.26828593661394e-08
314,Jarid2,6.273398,0.35749263,3.271342137204187e-08
315,Cachd1,6.2723327,0.35573894,3.284372868543989e-08
316,Tead1,6.2685227,0.36363715,3.3561160745280676e-08
317,mt-Co1,6.248591,0.67535007,3.802715368370887e-08
318,Eogt,6.242137,0.40157786,3.9517701801928136e-08
319,Zbtb16,6.2412987,0.37332594,3.961756866806482e-08
320,Tagln3,6.237935,0.41774097,4.036432021610962e-08
321,Zfhx2,6.2322135,0.37574512,4.174893081020248e-08
322,Swap70,6.2316356,0.42136607,4.1785534779743616e-08
323,Otud5,6.230431,0.52259773,4.1990176489240576e-08
324,Adamts6,6.2216816,0.4488687,4.4276548998771384e-08
325,Prdm16,6.219654,0.33688667,4.46546350516105e-08
326,Fgfr1,6.2194734,0.35420424,4.46546350516105e-08
327,Hs2st1,6.2130094,0.35129032,4.640277984140311e-08
328,Fmn2,6.210953,0.33797774,4.688415510047859e-08
329,Atp8a1,6.2045097,0.3549245,4.871131261781589e-08
330,Adhfe1,6.2033334,0.38381815,4.89421246203885e-08
331,Notch2,6.199619,0.42730376,4.997393154458153e-08
332,Pals1,6.198559,0.4092228,5.0174189451544655e-08
333,Eps15,6.197362,0.3677622,5.0419331190279095e-08
334,Dlgap1,6.195234,0.20575708,5.076904247170913e-08
335,Ehbp1,6.195115,0.3589189,5.076904247170913e-08
336,Maob,6.1949916,0.4696877,5.076904247170913e-08
337,Diaph2,6.1852202,0.35565636,5.3870196394293534e-08
338,Ccdc80,6.1807885,0.37779796,5.5241787451318015e-08
339,Nrbp2,6.180404,0.5299569,5.5241787451318015e-08
340,Cc2d2a,6.178106,0.3508991,5.5901931296733675e-08
341,Sat1,6.1747837,0.35086983,5.693795367269023e-08
342,Med25,6.166496,0.6946588,5.984281085993886e-08
343,Marf1,6.161223,0.3618836,6.170590183317347e-08
344,Fyn,6.1531982,0.3548443,6.474026580465368e-08
345,Cdk14,6.149605,0.34748054,6.604930732092854e-08
346,Gm5089-1,6.148867,0.36947984,6.61825843623966e-08
347,Nsd1,6.147544,0.3659092,6.65617552738057e-08
348,Psme4,6.140381,0.35971394,6.945165248704401e-08
349,Afg1l,6.13558,0.40004635,7.136053190161851e-08
350,Cdh19,6.1352425,0.3803429,7.136053190161851e-08
351,Ppp2r5a,6.1334753,0.35048312,7.197060462310253e-08
352,Tcf7l1,6.132333,0.35181686,7.230183048395697e-08
353,Armh3,6.126276,0.3877925,7.491294741979642e-08
354,mt-Co3,6.122879,0.5543995,7.63311382266784e-08
355,C130071C03Rik,6.113629,0.367577,8.06841024417853e-08
356,Sort1,6.1112556,0.3495761,8.168330700999939e-08
357,Fam193a,6.1071053,0.36615816,8.362073913043866e-08
358,Abl2,6.1042805,0.35219747,8.489572498918625e-08
359,Tnrc18,6.1026373,0.3504612,8.555515136003884e-08
360,Wasf3,6.101206,0.34939197,8.610599257349524e-08
361,Cecr2,6.084465,0.34478205,9.536012213234094e-08
362,Lgr4,6.075442,0.34064358,1.006254240593552e-07
363,Clu,6.071222,0.39508387,1.0304586689896927e-07
364,Arrb1,6.068031,0.36013836,1.0484951399277456e-07
365,Frem2,6.0661554,0.41359654,1.0581460264277308e-07
366,Gm11266,6.0645022,0.356205,1.0664159816223444e-07
367,Gm50021,6.06395,0.36107117,1.0674159976191087e-07
368,Garem1,6.0612493,0.35168496,1.0827971094045206e-07
369,Cyp2j9,6.060566,0.5386796,1.0847109242326941e-07
370,Ttc28,6.052621,0.35130277,1.1367831274988025e-07
371,Srsf5,6.051419,0.35717764,1.1424717299418673e-07
372,Bod1l,6.046621,0.33942336,1.1741039002857058e-07
373,Zfp521,6.044454,0.34615222,1.1870670474498592e-07
374,Npepps,6.0396123,0.36951962,1.220240478111256e-07
375,Phkb,6.03662,0.35996848,1.240034066192159e-07
376,Fmo1,6.0295806,0.7559911,1.292110197380181e-07
377,Abcc5,6.0263333,0.3609107,1.3151220935524693e-07
