,KO_n,KO_s,KO_l,KO_p
18671,Gm19345,0.015941322,0.8642569,1.0
18672,Gm41219,0.015941322,0.5680094,1.0
18673,B830042I05Rik,0.015941322,0.78744656,1.0
18674,Platr9,0.015941322,0.8070715,1.0
18675,Gm16193,0.015941322,0.45562768,1.0
18676,Cyp3a16,0.015941322,0.5946642,1.0
18677,C87198,0.015941322,0.5147236,1.0
18678,1700028P15Rik,0.015941322,0.8746023,1.0
18679,Myh1,0.015941322,0.6345074,1.0
18680,Hbb-bt,0.015941322,0.5462467,1.0
18681,Gm31854,0.015941322,0.45427853,1.0
18682,Gm36992,0.015941322,0.5828098,1.0
18683,Ecrg4,0.015941322,0.7099616,1.0
18684,E130018N17Rik,0.015941322,0.6000842,1.0
18685,4930545L08Rik,0.015941322,0.8025785,1.0
18686,Gm3239,0.015941322,0.75675493,1.0
18687,Gm15592,0.015941322,0.5170037,1.0
18688,Gm20838,0.015941322,0.7698101,1.0
18689,CK137956,0.015941322,0.29479057,1.0
18690,Olfr975,0.015941322,0.8409058,1.0
18691,1700028M03Rik,0.015941322,0.4626982,1.0
18692,Kremen2,0.015941322,0.8872846,1.0
18693,Gm12860,0.015941322,0.7104895,1.0
18694,A4gnt,0.015941322,0.61875767,1.0
18695,Kcne1l,0.015941322,0.6401794,1.0
18696,Gm16045,0.015941322,0.3559051,1.0
18697,Treml4,0.015941322,0.36480653,1.0
18698,Gm41717,0.015941322,0.28317085,1.0
18699,En2,0.015941322,0.35186926,1.0
18700,Hmgb4os,0.015941322,0.8473265,1.0
18701,5430401H09Rik,0.015941322,0.854539,1.0
18702,Gm15687,0.015941322,0.6956518,1.0
18703,E130215H24Rik,0.015941322,0.45910278,1.0
18704,Gm2244,0.015941322,0.7152696,1.0
18705,Btn2a2,0.015941322,0.42663315,1.0
18706,Gm11656,0.015941322,0.56971776,1.0
18707,D7Ertd128e,0.015941322,0.5196381,1.0
18708,Habp2,0.015941322,0.63950074,1.0
18709,Gm40968,0.015941322,0.312634,1.0
18710,Sox5os3,0.015941322,0.41615736,1.0
18711,Gm48441,0.015941322,0.88438773,1.0
18712,Gm20043,0.015941322,0.48787886,1.0
18713,Ihh,0.015941322,0.56110215,1.0
18714,Oas1f,0.015941322,0.2549825,1.0
18715,Gm48696,0.015941322,0.82391685,1.0
18716,Calhm3,0.015941322,0.6386898,1.0
18717,B3gnt9,0.015941322,0.9803093,1.0
18718,Zpbp2,0.015941322,0.4074608,1.0
18719,Gm14250,0.015941322,0.5568995,1.0
18720,Olfr586,0.015941322,0.7428814,1.0
18721,Gm14114,0.015941322,0.6329898,1.0
18722,Olfr1313,0.015941322,0.77808404,1.0
18723,Marveld3,0.015941322,0.19978185,1.0
18724,Wnt9b,0.015941322,0.8277477,1.0
18725,Ifi47,0.015941322,0.8128273,1.0
18726,Gm10964,0.015941322,0.57363063,1.0
18727,H2-M3,0.015941322,0.64117455,1.0
18728,Gm48045,0.015941322,0.68873423,1.0
18729,C530025M09Rik,0.015941322,0.3251416,1.0
18730,H2ac18,0.015941322,0.88439393,1.0
18731,Gm45641,0.015941322,0.8358104,1.0
18732,Gm35850,0.015941322,0.7343237,1.0
18733,Mbd3l2,0.015941322,0.8186232,1.0
18734,Prokr1,0.015941322,0.79118747,1.0
18735,Smpx,0.015941322,0.8539566,1.0
18736,Gm44515,0.015941322,0.44004866,1.0
18737,Gm49887,0.015941322,0.34386805,1.0
18738,Gm30454,0.015941322,0.8804532,1.0
18739,Ifi208,0.015941322,0.57247823,1.0
18740,Gm11998,0.015941322,0.71870536,1.0
18741,Gm17606,0.015941322,0.49777806,1.0
18742,Gm37306,0.015941322,0.87162924,1.0
18743,Itpripl1,0.015941322,0.71242666,1.0
18744,Gm34059,0.015941322,0.46803603,1.0
18745,Gm45012,0.015941322,0.5661503,1.0
18746,Pramel31,0.015941322,0.8856137,1.0
18747,Xlr4c,0.015941322,0.55720896,1.0
18748,Il1rl1,0.015941322,0.60938805,1.0
18749,Dreg1,0.015941322,0.7750407,1.0
18750,Pi15,0.015941322,0.2635669,1.0
18751,Gm20837,0.015941322,0.83131886,1.0
18752,mt-Nd6,0.015941322,0.73300546,1.0
18753,Pcdha10,0.015941322,0.7598042,1.0
18754,4933417E11Rik,0.015941322,0.81619006,1.0
18755,Gm10545,0.015941322,0.73332393,1.0
18756,Gm11755,0.015941322,0.40501836,1.0
18757,4933406B15Rik,0.015941322,0.5445349,1.0
18758,2810457G06Rik,0.015941322,0.88259244,1.0
18759,Msc,0.015941322,0.6854839,1.0
18760,Gm41790,0.015941322,0.6192673,1.0
18761,Olfr429,0.015781393,17.812683,1.0
18762,Gm34939,0.015781393,17.79259,1.0
18763,Gm49441,0.015781393,17.510647,1.0
18764,Matn1,0.015781393,17.75525,1.0
18765,Gm34096,0.015781393,17.883556,1.0
18766,Gm49390,0.015781393,18.111652,1.0
18767,Gm14161,0.015781393,17.772398,1.0
18768,Eif1ad7,0.015781393,18.12973,1.0
18769,Duxf3,0.015781393,17.751675,1.0
18770,Crisp3,0.015781393,17.877783,1.0
18771,Gm28731,0.015781393,18.196995,1.0
18772,Il36rn,0.015781393,17.815516,1.0
18773,Gm11672,0.015781393,17.75279,1.0
18774,Gm13403,0.015781393,17.790045,1.0
18775,Pgk2,0.015781393,17.925135,1.0
18776,Gm26800,0.015781393,18.043354,1.0
18777,Gm43492,0.015781393,18.004494,1.0
18778,Drd4,0.015781393,17.419926,1.0
18779,Gm14978,0.015781393,18.270153,1.0
18780,4933426B08Rik,0.015781393,17.950832,1.0
18781,Acot3,0.015781393,18.104763,1.0
18782,5430403N17Rik,0.015781393,17.767181,1.0
18783,AI646519,0.015781393,17.547268,1.0
18784,Gm13200,0.015781393,17.671148,1.0
18785,Gm43358,0.015781393,17.992977,1.0
18786,Gm16617,0.015781393,17.788198,1.0
18787,Mboat4,0.015781393,17.689377,1.0
18788,Gm39375,0.015781393,17.81292,1.0
18789,Ifi209,0.015781393,17.663483,1.0
18790,Gm28897,0.015781393,17.897747,1.0
18791,Olfr218,0.015781393,17.930645,1.0
18792,Ugt2b36,0.015781393,18.029655,1.0
18793,Esp24,0.015781393,17.565348,1.0
18794,Gm14110,0.015781393,17.876532,1.0
18795,Gm29229,0.015781393,17.67782,1.0
18796,Gm16982,0.015781393,18.229118,1.0
18797,Gm20356,0.015781393,17.851078,1.0
18798,Gm45889,0.015781393,18.134542,1.0
18799,Muc5b,0.015781393,18.149126,1.0
18800,Syt8,0.015781393,17.968142,1.0
18801,Esp31,0.015781393,18.17293,1.0
18802,Epn3,0.015781393,17.518284,1.0
18803,Camp,0.015781393,17.870298,1.0
18804,Ppp1r3b,0.015781393,16.9528,1.0
18805,Foxa2,0.015781393,18.074646,1.0
18806,Gm27230,0.015781393,17.427343,1.0
18807,1700104B16Rik,0.015781393,17.921997,1.0
18808,4931408C20Rik,0.015781393,18.143915,1.0
18809,Esp15,0.015781393,17.900301,1.0
18810,Gstt4,0.015781393,17.321608,1.0
18811,Gm37756,0.015781393,18.040716,1.0
18812,Ifi213,0.015781393,18.059324,1.0
18813,Gm28181,0.015781393,17.296871,1.0
18814,Gm15558,0.015781393,17.5839,1.0
18815,Gm32432,0.015781393,17.961887,1.0
18816,1700008N11Rik,0.015781393,18.07102,1.0
18817,Gm44761,0.015781393,18.031975,1.0
18818,Gm35453,0.015781393,17.819542,1.0
18819,Dlx3,0.015781393,17.634933,1.0
18820,Gm32089,0.015781393,17.84596,1.0
18821,Gm17830,0.015781393,18.148474,1.0
18822,Gm2200,0.015781393,17.896982,1.0
18823,Gm28959,0.015781393,17.57583,1.0
18824,Fgg,0.015781393,17.993816,1.0
18825,Gm3383,0.015781393,17.67198,1.0
18826,Gm35934,0.015781393,17.98021,1.0
18827,4933438K21Rik,0.015781393,18.000265,1.0
18828,Gm10217,0.015781393,18.089283,1.0
18829,Gm13134,0.015781393,17.210608,1.0
18830,Prph2,0.015781393,17.688322,1.0
18831,Xkr5,0.015781393,17.966505,1.0
18832,Defb38,0.015781393,17.555708,1.0
18833,Gm43031,0.015781393,17.949493,1.0
18834,Gm16185,0.015781393,18.175947,1.0
18835,Gm14226,0.015781393,17.925657,1.0
18836,A930006L05Rik,0.015781393,17.941753,1.0
18837,Prl2c2,0.015781393,17.929068,1.0
18838,Carlr,0.015781393,17.563072,1.0
18839,Bglap3,0.015781393,17.82549,1.0
18840,Gm9898,0.015781393,17.649324,1.0
18841,G6pc,0.015781393,17.413555,1.0
18842,Aqp2,0.015781393,17.902092,1.0
18843,Gm45330,0.015781393,18.466599,1.0
18844,BB019430,0.015781393,17.821918,1.0
18845,Gm37933,0.015781393,17.8698,1.0
18846,Gm33326,0.015781393,17.610023,1.0
18847,Aadacl4fm5,0.015781393,18.142294,1.0
18848,Gm49946,0.015781393,17.635336,1.0
18849,Gm34397,0.015781393,17.37731,1.0
18850,Gm45680,0.015781393,17.90363,1.0
18851,2310043M15Rik,0.015781393,17.87229,1.0
18852,Gm47947,0.015781393,17.71912,1.0
18853,Gm47682,0.015781393,17.631514,1.0
18854,Smr2l,0.015781393,18.163603,1.0
18855,Mab21l2,0.015781393,17.7355,1.0
18856,Eif1ad19,0.015781393,18.14978,1.0
18857,Ptf1aos,0.015781393,17.99214,1.0
18858,Gm3669,0.015781393,17.981588,1.0
18859,Ntrk1,0.015781393,18.051012,1.0
18860,Proz,0.015781393,18.043648,1.0
18861,Gm6525,0.015781393,17.99886,1.0
18862,2410124H12Rik,0.015781393,17.731985,1.0
18863,Nudt16l2,0.015781393,17.716305,1.0
18864,Gm48544,0.015781393,17.901579,1.0
18865,Gm29020,0.015781393,17.419926,1.0
18866,Gm21760,0.015781393,18.059921,1.0
18867,Gm41030,0.015781393,17.988241,1.0
18868,Gm31630,0.015781393,17.64749,1.0
18869,Gm26576,0.015781393,17.793283,1.0
18870,Slc22a7,0.015781393,17.471079,1.0
18871,Gm43348,0.015781393,17.95918,1.0
18872,Gm13528,0.015781393,17.56383,1.0
18873,Epgn,0.015781393,17.725643,1.0
18874,Gm45181,0.015781393,18.000547,1.0
18875,Fgf15,0.015781393,17.89979,1.0
18876,Gm16933,0.015781393,17.950296,1.0
18877,5430421F17Rik,0.015781393,17.78889,1.0
18878,Eif1ad16,0.015781393,18.009874,1.0
18879,Gm45411,0.015781393,17.914457,1.0
18880,Gm31727,0.015781393,17.969233,1.0
18881,4921523L03Rik,0.015781393,18.512774,1.0
18882,Gm3278,0.015781393,18.096064,1.0
18883,Gm26793,0.015781393,17.505764,1.0
18884,Krtap22-2,0.015781393,18.22699,1.0
18885,Gm17059,0.015781393,18.045998,1.0
18886,4930471C04Rik,0.015781393,17.698282,1.0
18887,Gm37073,0.015781393,18.010727,1.0
18888,Gm38325,0.015781393,17.584093,1.0
18889,Gm27216,0.015781393,18.471498,1.0
18890,Phgr1,0.015781393,17.85671,1.0
18891,1700092C17Rik,0.015781393,17.409214,1.0
18892,Gm10521,0.015781393,17.992418,1.0
18893,2310005E17Rik,0.015781393,18.02187,1.0
18894,4930404H24Rik,0.015781393,17.41322,1.0
18895,Clec14a,0.015781393,17.777868,1.0
18896,Gm47645,0.015781393,18.117008,1.0
18897,Gm27206,0.015781393,17.84888,1.0
18898,Gm36972,0.015781393,17.880793,1.0
18899,Csn1s1,0.015781393,17.531857,1.0
18900,Gm11551,0.015781393,17.91731,1.0
18901,Gm28083,0.015781393,17.61536,1.0
18902,Gm16262,0.015781393,17.77058,1.0
18903,Mpz,0.015781393,17.65936,1.0
18904,Prss51,0.015781393,17.617739,1.0
18905,Gm14552,0.015781393,18.016996,1.0
18906,4930429P21Rik,0.015781393,17.541302,1.0
18907,Gm10058,0.015781393,17.964874,1.0
18908,Gm48023,0.015781393,17.606089,1.0
18909,Gm13362,0.015781393,18.080414,1.0
18910,Gm28262,0.015781393,17.99886,1.0
18911,Gm14147,0.015781393,17.968142,1.0
18912,D830039M14Rik,0.015781393,17.820967,1.0
18913,Gm8773,0.015781393,18.30768,1.0
18914,Gm10300,0.015781393,18.205616,1.0
18915,Pdc,0.015781393,17.519012,1.0
18916,Gm20916,0.015781393,17.716305,1.0
18917,Gm3020,0.015781393,17.876282,1.0
18918,Bcl2a1a,0.015781393,18.159964,1.0
18919,Gm20471,0.015781393,18.057241,1.0
18920,Gm14145,0.015781393,17.450737,1.0
18921,Gm20610,0.015781393,17.982695,1.0
18922,1700060C20Rik,0.015781393,17.968687,1.0
18923,Gm28410,0.015781393,18.006472,1.0
18924,Gm35166,0.015781393,18.084991,1.0
18925,Aadacl3,0.015781393,17.755474,1.0
18926,Gm45911,0.015781393,17.824299,1.0
18927,Olfr133,0.015781393,17.558723,1.0
18928,Gm31717,0.015781393,17.8274,1.0
18929,4930459L07Rik,0.015781393,18.053677,1.0
18930,Gm17638,0.015781393,18.303047,1.0
18931,4933422A05Rik,0.015781393,17.404724,1.0
18932,Krt40,0.015781393,17.86831,1.0
18933,Olfr360,0.015781393,17.931171,1.0
18934,4930470P17Rik,0.015781393,18.122713,1.0
18935,Mir205hg,0.015781393,17.96896,1.0
18936,Chst4,0.015781393,18.007889,1.0
18937,Gm47804,0.015781393,18.419338,1.0
18938,Gm15872,0.015781393,17.857939,1.0
18939,Irf6,0.015781393,16.94978,1.0
18940,Gm5129,0.015781393,17.8698,1.0
18941,Gm1527,0.015781393,17.756819,1.0
18942,Olfr881,0.015781393,17.536293,1.0
18943,Gm15867,0.015781393,18.06861,1.0
18944,Mnx1,0.015781393,17.943085,1.0
18945,1700014F14Rik,0.015781393,17.785664,1.0
18946,Card9,0.015781393,17.582937,1.0
18947,Gm13749,0.015781393,17.920954,1.0
18948,Krt27,0.015781393,17.476526,1.0
18949,Gm15655,0.015781393,18.307293,1.0
18950,Gm48256,0.015781393,18.066206,1.0
18951,Gm15395,0.015781393,17.818357,1.0
18952,4930548H24Rik,0.015781393,17.889616,1.0
18953,Eprn,0.015781393,17.598255,1.0
18954,Gm14453,0.015781393,17.800955,1.0
18955,Pou1f1,0.015781393,17.889362,1.0
18956,Gm47397,0.015781393,17.525234,1.0
18957,4930488N15Rik,0.015781393,17.80493,1.0
18958,Gm28930,0.015781393,17.73462,1.0
18959,4933428G20Rik,0.015781393,18.14717,1.0
18960,Platr3,0.015781393,18.107576,1.0
18961,Gm13021,0.015781393,17.888857,1.0
18962,Gm31408,0.015781393,18.014141,1.0
18963,Gm10945,0.015781393,18.233034,1.0
18964,Gm9970,0.015781393,18.06861,1.0
18965,Tmprss3,0.015781393,17.659979,1.0
18966,Xirp1,0.015781393,17.833153,1.0
18967,Lhx3,0.015781393,17.608843,1.0
18968,Gm29582,0.015781393,17.9581,1.0
18969,Gm49622,0.015781393,18.106012,1.0
18970,Gm14258,0.015781393,17.98574,1.0
18971,Olfr961,0.015781393,17.871792,1.0
18972,Gm38064,0.015781393,18.00619,1.0
18973,9330182O14Rik,0.015781393,17.954596,1.0
18974,Cmtm1,0.015781393,17.808681,1.0
18975,Gm42695,0.015781393,17.646471,1.0
18976,4930551I23Rik,0.015781393,17.823345,1.0
18977,Gm45788,0.015781393,17.632719,1.0
18978,Olfr951,0.015781393,18.304203,1.0
18979,Gm43255,0.015781393,17.973883,1.0
18980,Olfr229,0.015781393,18.107576,1.0
18981,Gm48215,0.015781393,17.840384,1.0
18982,Gpat2,0.015781393,17.977453,1.0
18983,1700007P06Rik,0.015781393,17.854748,1.0
18984,Gm42921,0.015781393,16.760586,1.0
18985,Ces1a,0.015781393,17.655048,1.0
18986,Ces2b,0.015781393,18.00959,1.0
18987,Ces2f,0.015781393,17.987684,1.0
18988,Nr5a1os,0.015781393,18.113539,1.0
18989,Pglyrp2,0.015781393,17.610222,1.0
18990,Gm34756,0.015781393,17.984632,1.0
18991,Olfr358,0.015781393,18.061115,1.0
18992,Gm1667,0.015781393,18.070116,1.0
18993,Olfr911-ps1,0.015781393,17.531857,1.0
18994,Olfr912,0.015781393,17.84815,1.0
18995,Olfr916,0.015781393,17.822632,1.0
18996,Olfr357,0.015781393,18.211874,1.0
18997,Olfr919,0.015781393,17.943085,1.0
18998,Ces2h,0.015781393,18.157326,1.0
18999,Sncg,0.015781393,17.95891,1.0
19000,1700064M15Rik,0.015781393,18.029655,1.0
19001,Olfr355,0.015781393,17.48874,1.0
19002,Olfr944,0.015781393,18.167255,1.0
19003,Npy4r,0.015781393,17.56383,1.0
19004,Prss22,0.015781393,17.58815,1.0
19005,Gm43077,0.015781393,17.820017,1.0
19006,Adm2,0.015781393,18.00619,1.0
19007,Gm3519,0.015781393,18.069513,1.0
19008,Rbp3,0.015781393,17.925396,1.0
19009,Gm37362,0.015781393,18.072529,1.0
19010,Gm49802,0.015781393,18.081022,1.0
19011,Gm28289,0.015781393,17.95783,1.0
19012,Il22ra2,0.015781393,18.03721,1.0
19013,9230106D20Rik,0.015781393,17.512642,1.0
19014,Erv3,0.015781393,17.994375,1.0
19015,Gm48773,0.015781393,17.540745,1.0
19016,Slc35d3,0.015781393,17.815516,1.0
19017,Gm14434,0.015781393,17.54391,1.0
19018,Gm49874,0.015781393,17.931961,1.0
19019,Gm38661,0.015781393,17.909546,1.0
19020,4933406P04Rik,0.015781393,18.003082,1.0
19021,Gm49838,0.015781393,17.984356,1.0
19022,Gm3095,0.015781393,18.04101,1.0
19023,Gm41506,0.015781393,18.000265,1.0
19024,Chmp4c,0.015781393,17.65936,1.0
19025,Olfr286,0.015781393,17.650753,1.0
19026,Olfr870,0.015781393,17.927492,1.0
19027,Olfr283,0.015781393,18.272757,1.0
19028,Gm43699,0.015781393,17.864843,1.0
19029,Cela2a,0.015781393,18.33919,1.0
19030,Mymk,0.015781393,17.61101,1.0
19031,Gm47001,0.015781393,17.79514,1.0
19032,Gm47002,0.015781393,17.589893,1.0
19033,Gm26724,0.015781393,18.022732,1.0
19034,Gm14339,0.015781393,17.581013,1.0
19035,Ackr2,0.015781393,17.966234,1.0
19036,Gm49795,0.015781393,17.96896,1.0
19037,Fut4,0.015781393,18.494278,1.0
19038,4930540M03Rik,0.015781393,17.827162,1.0
19039,Gm49801,0.015781393,17.444202,1.0
19040,Mmp8,0.015781393,17.45956,1.0
19041,Gm5796,0.015781393,17.629507,1.0
19042,Gm48483,0.015781393,17.631113,1.0
19043,Gm37350,0.015781393,17.76289,1.0
19044,Olfr285,0.015781393,17.87229,1.0
19045,Gm32496,0.015781393,17.70597,1.0
19046,Adra2c,0.015781393,17.73418,1.0
19047,Gm15775,0.015781393,17.830273,1.0
19048,Gm26716,0.015781393,18.088669,1.0
19049,Gm2464,0.015781393,17.97005,1.0
19050,Gm49534,0.015781393,17.71609,1.0
19051,8030423J24Rik,0.015781393,17.990467,1.0
19052,Gm26784,0.015781393,17.814808,1.0
19053,Gm26747,0.015781393,18.179985,1.0
19054,Gm14104,0.015781393,18.242716,1.0
19055,1810064F22Rik,0.015781393,18.026188,1.0
19056,Snhg7os,0.015781393,17.999702,1.0
19057,Gm49123,0.015781393,17.96433,1.0
19058,Gm13584,0.015781393,17.758614,1.0
19059,BC048507,0.015781393,17.71977,1.0
19060,Gm50025,0.015781393,18.067106,1.0
19061,Ccr3,0.015781393,17.524317,1.0
19062,Olfr279,0.015781393,18.118273,1.0
19063,Irx1,0.015781393,17.497671,1.0
19064,Gm26674,0.015781393,18.04865,1.0
19065,Irx2,0.015781393,18.118906,1.0
19066,Gm45721,0.015781393,18.186413,1.0
19067,AI839979,0.015781393,17.945482,1.0
19068,BC048644,0.015781393,17.78866,1.0
19069,Gm14617,0.015781393,18.157654,1.0
19070,Gm14095,0.015781393,17.60432,1.0
19071,Gm20465,0.015781393,17.759962,1.0
19072,Gm49192,0.015781393,18.111338,1.0
19073,Gm48453,0.015781393,18.106325,1.0
19074,Olfr39,0.015781393,18.032845,1.0
19075,1700020A23Rik,0.015781393,17.949493,1.0
19076,Gm33619,0.015781393,18.026188,1.0
19077,Gm47134,0.015781393,17.766727,1.0
19078,Gm7596,0.015781393,17.562693,1.0
19079,Gm14097,0.015781393,17.952444,1.0
19080,Gm42428,0.015781393,17.876532,1.0
19081,1700020N01Rik,0.015781393,17.81127,1.0
19082,Angptl8,0.015781393,18.032265,1.0
19083,Gm6337,0.015781393,17.864347,1.0
19084,Gm10944,0.015781393,17.51537,1.0
19085,Gm43507,0.015781393,17.968142,1.0
19086,Gm49464,0.015781393,17.62052,1.0
19087,Gm14291,0.015781393,18.199057,1.0
19088,Gm29290,0.015781393,17.881294,1.0
19089,Gm20745,0.015781393,18.010159,1.0
19090,Gm32742,0.015781393,17.80189,1.0
19091,Krt9,0.015781393,18.146843,1.0
19092,Rpp25,0.015781393,18.053083,1.0
19093,Myocos,0.015781393,18.048944,1.0
19094,Tppp2,0.015781393,18.2646,1.0
19095,Gm30214,0.015781393,17.556084,1.0
19096,Gm16130,0.015781393,17.984356,1.0
19097,Gm8953,0.015781393,17.605106,1.0
19098,Tbc1d21,0.015781393,17.91161,1.0
19099,Ace3,0.015781393,17.454708,1.0
19100,Gpr15,0.015781393,18.01614,1.0
19101,Duox2,0.015781393,17.928543,1.0
19102,Gm49097,0.015781393,17.964058,1.0
19103,4930461G14Rik,0.015781393,17.679913,1.0
19104,Gm49701,0.015781393,17.364552,1.0
19105,Lilrb4b,0.015781393,18.211874,1.0
19106,Helt,0.015781393,18.142294,1.0
19107,Ccdc110,0.015781393,18.04865,1.0
19108,4930423D22Rik,0.015781393,17.994656,1.0
19109,Krt19,0.015781393,17.699347,1.0
19110,Gm21409,0.015781393,17.877033,1.0
19111,Gm35028,0.015781393,17.47459,1.0
19112,Olfr178,0.015781393,17.877283,1.0
19113,Gm47193,0.015781393,17.898256,1.0
19114,Gm45462,0.015781393,17.615953,1.0
19115,Gm47960,0.015781393,18.116693,1.0
19116,4933401D09Rik,0.015781393,17.829554,1.0
19117,Lefty2,0.015781393,17.661627,1.0
19118,Crabp1,0.015781393,18.12813,1.0
19119,H2al1e,0.015781393,17.874533,1.0
19120,Mixl1,0.015781393,18.190155,1.0
19121,BC030500,0.015781393,17.406551,1.0
19122,Gm15882,0.015781393,17.816225,1.0
19123,D730003K21Rik,0.015781393,18.079197,1.0
19124,Gm45359,0.015781393,17.930119,1.0
19125,Isl2,0.015781393,18.308455,1.0
19126,Gm20546,0.015781393,17.933279,1.0
19127,Hand2,0.015781393,17.885824,1.0
19128,Smok2b,0.015781393,18.122078,1.0
19129,Gm21095,0.015781393,17.68453,1.0
19130,Gm7616,0.015781393,18.10789,1.0
19131,Olfr115,0.015781393,18.057241,1.0
19132,Gm20890,0.015781393,18.111338,1.0
19133,H2-M2,0.015781393,17.696367,1.0
19134,Gm8922,0.015781393,17.865337,1.0
19135,Gm8362,0.015781393,17.507933,1.0
19136,Olfr112,0.015781393,17.419926,1.0
19137,Gm48855,0.015781393,17.658127,1.0
19138,Tmprss11b,0.015781393,18.193228,1.0
19139,Olfr118,0.015781393,17.798391,1.0
19140,Gm15669,0.015781393,17.854258,1.0
19141,Gm43640,0.015781393,17.284008,1.0
19142,Cts3,0.015781393,17.884565,1.0
19143,Adam24,0.015781393,17.706614,1.0
19144,Olfr124,0.015781393,18.190155,1.0
19145,Olfr126,0.015781393,17.64241,1.0
19146,Ell3,0.015781393,18.064705,1.0
19147,Tex13c3,0.015781393,17.821205,1.0
19148,Gm49959,0.015781393,17.922258,1.0
19149,Gm43567,0.015781393,17.687267,1.0
19150,Gm34648,0.015781393,17.628506,1.0
19151,Gm39348,0.015781393,18.082548,1.0
19152,Gm47587,0.015781393,17.406385,1.0
19153,Noxa1,0.015781393,18.478785,1.0
19154,Entpd8,0.015781393,17.5743,1.0
19155,Olfr344,0.015781393,17.849613,1.0
19156,Mtnr1a,0.015781393,17.96896,1.0
19157,Gm48812,0.015781393,18.307293,1.0
19158,Gm43131,0.015781393,17.476526,1.0
19159,Tex46,0.015781393,17.890882,1.0
19160,Mrgprh,0.015781393,17.402567,1.0
19161,Gm19277,0.015781393,17.808212,1.0
19162,Gm37280,0.015781393,18.113855,1.0
19163,Gm49926,0.015781393,17.689377,1.0
19164,Mageb3,0.015781393,17.730232,1.0
19165,Calml4,0.015781393,18.144566,1.0
19166,ENSMUSG00000094590,0.015781393,18.247051,1.0
19167,6030445D17Rik,0.015781393,17.708117,1.0
19168,Trim75,0.015781393,17.416903,1.0
19169,Eppin,0.015781393,18.083464,1.0
19170,Gm9017,0.015781393,18.329618,1.0
19171,Slc34a3,0.015781393,17.914976,1.0
19172,1700022E09Rik,0.015781393,17.6481,1.0
19173,Gm21905,0.015781393,18.067106,1.0
19174,Gm5741,0.015781393,17.378284,1.0
19175,E130120K24Rik,0.015781393,18.324873,1.0
19176,4933408A14Rik,0.015781393,17.87204,1.0
19177,Gm48695,0.015781393,17.751898,1.0
19178,Gm26796,0.015781393,18.048944,1.0
19179,Gm39321,0.015781393,17.896727,1.0
19180,Hoxb2,0.015781393,17.746998,1.0
19181,Gm29961,0.015781393,17.68811,1.0
19182,Gm20444,0.015781393,17.763792,1.0
19183,Gm49227,0.015781393,17.932224,1.0
19184,Hlx,0.015781393,17.997736,1.0
19185,Gm45326,0.015781393,17.764694,1.0
19186,Hspa1a,0.015781393,18.209784,1.0
19187,1700092C02Rik,0.015781393,18.328827,1.0
19188,Hoxb4,0.015781393,18.00111,1.0
19189,Btnl1,0.015781393,17.624506,1.0
19190,Btnl2,0.015781393,17.534443,1.0
19191,Ssxb5,0.015781393,17.887087,1.0
19192,Cct8l1,0.015781393,18.114485,1.0
19193,Gm10062,0.015781393,18.072227,1.0
19194,Gm28516,0.015781393,17.916271,1.0
19195,Irx3os,0.015781393,17.926706,1.0
19196,Gm47879,0.015781393,18.120491,1.0
19197,Gm17540,0.015781393,18.002518,1.0
19198,Fcna,0.015781393,18.080109,1.0
19199,Gm11525,0.015781393,17.698282,1.0
19200,Gm47049,0.015781393,17.658949,1.0
19201,H2-Eb1,0.015781393,17.237017,1.0
19202,Ssxb6,0.015781393,17.71005,1.0
19203,2010110E17Rik,0.015781393,18.053677,1.0
19204,Ssxb8,0.015781393,18.029078,1.0
19205,1700105G05Rik,0.015781393,17.823822,1.0
19206,AA672651,0.015781393,17.925135,1.0
19207,Gm8883,0.015781393,18.098852,1.0
19208,Ssx9,0.015781393,18.159304,1.0
19209,Gm43803,0.015781393,18.212223,1.0
19210,Gm45406,0.015781393,17.644642,1.0
19211,Gm29529,0.015781393,17.81292,1.0
19212,Olfr186,0.015781393,17.836761,1.0
19213,Gm47518,0.015781393,17.920954,1.0
19214,Wfdc11,0.015781393,17.803524,1.0
19215,Gm13010,0.015781393,17.666378,1.0
19216,Gm35279,0.015781393,17.609236,1.0
19217,Gm31557,0.015781393,17.682638,1.0
19218,Wfdc16,0.015781393,17.696367,1.0
19219,Gm34006,0.015781393,17.900301,1.0
19220,1700108N11Rik,0.015781393,17.829554,1.0
19221,Iqcn,0.015781393,18.05042,1.0
19222,Gm45897,0.015781393,17.73572,1.0
19223,Gm26969,0.015781393,18.082243,1.0
19224,Apol10a,0.015781393,17.482529,1.0
19225,Cysrt1,0.015781393,18.052492,1.0
19226,Gm32710,0.015781393,18.036045,1.0
19227,Gm35215,0.015781393,18.157654,1.0
19228,Cd24a,0.015781393,18.06861,1.0
19229,Gm11175,0.015781393,17.974981,1.0
19230,Apoa4,0.015781393,17.667206,1.0
19231,Mcpt8,0.015781393,17.941753,1.0
19232,Olfr195,0.015781393,17.611208,1.0
19233,Cd3e,0.015781393,18.031685,1.0
19234,Vmn1r232,0.015781393,17.618532,1.0
19235,Gm15178,0.015781393,18.311169,1.0
19236,Isx,0.015781393,17.70383,1.0
19237,Gm43657,0.015781393,17.872787,1.0
19238,Vmn1r228,0.015781393,18.471498,1.0
19239,Gm21488,0.015781393,18.091436,1.0
19240,Hoxb9,0.015781393,18.100094,1.0
