"Image","bin","count"
"20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",9,16
"20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",10,10
"20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",1,24
"20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",2,20
"20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",3,31
"20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",4,27
"20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",1,25
"20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",2,28
"20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",6,28
"20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",7,26
"20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",3,29
"20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",4,30
"20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",5,28
"20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",8,27
"20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",9,18
"20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",10,10
"20250704_L57343-6M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",3,8
"20250704_L57343-6M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",2,13
"20250704_L57343-6M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",6,13
"20250704_L57343-6M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",7,6
"20250704_L57343-6M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",8,17
"20250704_L57343-6M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",9,6
"20250704_L57343-6M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",4,5
"20250704_L57343-6M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",5,10
"20250704_L57343-6M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",1,14
"20250704_L57343-6M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",10,4
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",10,11
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",5,21
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",1,2
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",2,8
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",3,19
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",4,21
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",6,23
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",7,22
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",9,11
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",8,15
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",1,7
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",2,9
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",6,24
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",7,22
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",3,20
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",4,23
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",5,26
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",8,22
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",9,9
"20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",10,5
"20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",8,18
"20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",9,10
"20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",1,8
"20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",2,7
"20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",3,14
"20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",10,11
"20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",4,17
"20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",5,18
"20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",6,18
"20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",7,20
"20250704_L57343-8F_S5R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",5,20
"20250704_L57343-8F_S5R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",4,20
"20250704_L57343-8F_S5R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",6,27
"20250704_L57343-8F_S5R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",1,8
"20250704_L57343-8F_S5R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",2,15
"20250704_L57343-8F_S5R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",3,23
"20250704_L57343-8F_S5R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",10,17
"20250704_L57343-8F_S5R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",7,20
"20250704_L57343-8F_S5R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",8,20
"20250704_L57343-8F_S5R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",9,16
"20250704_L57343-8F_S6L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",6,7
"20250704_L57343-8F_S6L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",8,5
"20250704_L57343-8F_S6L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",5,10
"20250704_L57343-8F_S6L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",1,2
"20250704_L57343-8F_S6L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",7,4
"20250704_L57343-8F_S6L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",9,2
"20250704_L57343-8F_S6L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",10,6
"20250704_L57343-8F_S6L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",2,1
"20250704_L57343-8F_S6L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",3,4
"20250704_L57343-8F_S6L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",4,5
"20250704_L58201-5M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",1,19
"20250704_L58201-5M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",2,12
"20250704_L58201-5M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",7,5
"20250704_L58201-5M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",8,1
"20250704_L58201-5M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",9,2
"20250704_L58201-5M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",3,7
"20250704_L58201-5M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",4,1
"20250704_L58201-5M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",5,2
"20250704_L58201-5M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",6,8
"20250704_L58201-5M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",10,0
"20250704_L58201-5M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",4,6
"20250704_L58201-5M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",5,3
"20250704_L58201-5M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",7,1
"20250704_L58201-5M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",8,3
"20250704_L58201-5M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",9,1
"20250704_L58201-5M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",10,0
"20250704_L58201-5M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",6,3
"20250704_L58201-5M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",1,6
"20250704_L58201-5M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",2,5
"20250704_L58201-5M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",3,3
"20250704_L58201-6F_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",6,21
"20250704_L58201-6F_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",7,21
"20250704_L58201-6F_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",8,25
"20250704_L58201-6F_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",9,10
"20250704_L58201-6F_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",10,12
"20250704_L58201-6F_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",4,28
"20250704_L58201-6F_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",5,21
"20250704_L58201-6F_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",2,11
"20250704_L58201-6F_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",3,30
"20250704_L58201-6F_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",1,22
"20250704_L58201-6F_S4R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",3,22
"20250704_L58201-6F_S4R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",4,20
"20250704_L58201-6F_S4R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",1,27
"20250704_L58201-6F_S4R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",2,32
"20250704_L58201-6F_S4R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",9,6
"20250704_L58201-6F_S4R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",10,7
"20250704_L58201-6F_S4R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",5,23
"20250704_L58201-6F_S4R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",6,20
"20250704_L58201-6F_S4R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",7,14
"20250704_L58201-6F_S4R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",8,16
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",5,4
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",6,3
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",7,4
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",8,6
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",9,3
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",10,1
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",1,7
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",2,7
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",4,6
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",3,7
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",1,13
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",2,11
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",3,19
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",4,23
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",5,28
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",6,16
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",7,11
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",8,27
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",9,21
"20250704_L58201-6F_S5L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",10,11
